user_id,item_id,cat_id,seller_id,brand_id,time_stamp,action_type,age_range,gender,label
379824,198,656,145,3462.0,1111,0,5.0,1.0,0
379824,198,656,145,3462.0,1111,0,5.0,1.0,0
379824,198,656,145,3462.0,1111,2,5.0,1.0,0
379824,198,656,145,3462.0,1110,0,5.0,1.0,0
379824,198,656,145,3462.0,1110,0,5.0,1.0,0
379824,198,656,145,3462.0,1110,0,5.0,1.0,0
141307,175,1181,4760,247.0,1107,0,4.0,1.0,0
141307,175,1181,4760,247.0,1107,0,4.0,1.0,0
141307,175,1181,4760,247.0,1107,0,4.0,1.0,0
141307,175,1181,4760,247.0,1111,0,4.0,1.0,0
141307,175,1181,4760,247.0,1111,0,4.0,1.0,0
141307,175,1181,4760,247.0,1111,0,4.0,1.0,0
141307,175,1181,4760,247.0,1111,2,4.0,1.0,0
141307,175,1181,4760,247.0,1111,0,4.0,1.0,0
141307,175,1181,4760,247.0,1111,0,4.0,1.0,0
252255,175,1181,4760,247.0,1111,0,3.0,1.0,0
309566,175,1181,4760,247.0,1111,2,5.0,0.0,0
206032,281,1130,246,5380.0,1108,0,4.0,0.0,0
206032,281,1130,246,5380.0,1108,0,4.0,0.0,0
206032,281,1130,246,5380.0,1104,0,4.0,0.0,0
206032,281,1130,246,5380.0,1104,0,4.0,0.0,0
206032,281,1130,246,5380.0,1111,2,4.0,0.0,0
206032,281,1130,246,5380.0,1111,0,4.0,0.0,0
206032,281,1130,246,5380.0,1107,0,4.0,0.0,0
206032,281,1130,246,5380.0,1111,0,4.0,0.0,0
206032,281,1130,246,5380.0,1111,2,4.0,0.0,0
206032,281,1130,246,5380.0,1111,0,4.0,0.0,0
206032,281,1130,246,5380.0,1111,0,4.0,0.0,0
206032,281,1130,246,5380.0,1103,3,4.0,0.0,0
206032,281,1130,246,5380.0,1109,0,4.0,0.0,0
206032,281,1130,246,5380.0,1105,0,4.0,0.0,0
182119,279,898,3323,683.0,1111,0,4.0,1.0,0
182119,279,898,3323,683.0,1110,0,4.0,1.0,0
68225,279,898,3323,683.0,1108,0,5.0,1.0,1
109919,198,656,145,3462.0,1105,0,4.0,0.0,0
342023,190,664,1131,2350.0,1108,0,3.0,0.0,0
342023,190,664,1131,2350.0,1108,0,3.0,0.0,0
287829,175,1181,4760,247.0,1111,0,3.0,0.0,0
255960,279,898,3323,683.0,1111,0,3.0,0.0,0
380420,190,664,1131,2350.0,1105,0,3.0,0.0,0
176150,175,1181,4760,247.0,1111,0,3.0,1.0,0
176150,175,1181,4760,247.0,1111,0,3.0,1.0,0
407671,219,349,1943,6208.0,1111,0,6.0,0.0,0
407671,219,349,1943,6208.0,1111,2,6.0,0.0,0
407671,219,349,1943,6208.0,1111,0,6.0,0.0,0
407671,219,349,1943,6208.0,1109,3,6.0,0.0,0
407671,219,349,1943,6208.0,1109,0,6.0,0.0,0
407671,219,349,1943,6208.0,1109,0,6.0,0.0,0
388332,285,1577,630,1905.0,520,0,5.0,0.0,0
244552,278,1075,1210,6230.0,1111,2,2.0,1.0,0
244552,278,1075,1210,6230.0,1111,0,2.0,1.0,0
46507,224,614,4955,7924.0,1111,0,3.0,0.0,0
46507,224,614,4955,7924.0,1111,0,3.0,0.0,0
46507,224,614,4955,7924.0,1111,2,3.0,0.0,0
191162,184,656,145,3462.0,1111,0,0.0,0.0,0
191162,184,656,145,3462.0,1111,2,0.0,0.0,0
174308,175,1181,4760,247.0,1111,0,0.0,1.0,0
174308,175,1181,4760,247.0,1111,0,0.0,1.0,0
174308,175,1181,4760,247.0,1111,2,0.0,1.0,0
174308,175,1181,4760,247.0,1111,0,0.0,1.0,0
134532,279,898,3323,683.0,1111,0,0.0,1.0,1
355159,279,898,3323,683.0,1111,0,0.0,0.0,0
62942,312,602,4129,5491.0,1103,0,2.0,0.0,0
353962,184,656,145,3462.0,1111,0,6.0,0.0,0
353962,184,656,145,3462.0,1111,0,6.0,0.0,0
353962,184,656,145,3462.0,1111,0,6.0,0.0,0
353962,184,656,145,3462.0,1111,2,6.0,0.0,0
353962,184,656,145,3462.0,1111,0,6.0,0.0,0
353962,184,656,145,3462.0,1111,0,6.0,0.0,0
319670,175,1181,4760,247.0,1111,0,2.0,1.0,0
319670,175,1181,4760,247.0,1111,0,2.0,1.0,0
319670,175,1181,4760,247.0,1111,2,2.0,1.0,0
210578,279,898,3323,683.0,1111,0,3.0,1.0,0
210578,279,898,3323,683.0,1111,0,3.0,1.0,0
210578,279,898,3323,683.0,1111,0,3.0,1.0,0
101110,281,1130,246,5380.0,1111,2,4.0,0.0,0
101110,281,1130,246,5380.0,1111,0,4.0,0.0,0
101110,281,1130,246,5380.0,1111,0,4.0,0.0,0
101110,281,1130,246,5380.0,1111,0,4.0,0.0,0
149798,224,614,4955,7924.0,1108,0,2.0,0.0,0
6018,184,656,145,3462.0,1111,0,6.0,0.0,0
6018,184,656,145,3462.0,1111,0,6.0,0.0,0
281262,279,898,3323,683.0,1109,0,4.0,1.0,0
314519,219,349,1943,6208.0,1111,2,2.0,1.0,0
205257,279,898,3323,683.0,1111,0,6.0,0.0,0
117839,279,898,3323,683.0,1111,0,4.0,0.0,0
46699,175,1181,4760,247.0,1111,2,4.0,1.0,0
46699,175,1181,4760,247.0,1110,0,4.0,1.0,0
46699,175,1181,4760,247.0,1109,0,4.0,1.0,0
46699,175,1181,4760,247.0,1110,0,4.0,1.0,0
46699,175,1181,4760,247.0,1109,0,4.0,1.0,0
46699,175,1181,4760,247.0,1110,0,4.0,1.0,0
46699,175,1181,4760,247.0,1110,0,4.0,1.0,0
46699,175,1181,4760,247.0,1110,0,4.0,1.0,0
46699,175,1181,4760,247.0,1110,3,4.0,1.0,0
46699,175,1181,4760,247.0,1106,3,4.0,1.0,0
46699,175,1181,4760,247.0,1106,0,4.0,1.0,0
46699,175,1181,4760,247.0,1110,0,4.0,1.0,0
46699,175,1181,4760,247.0,1110,0,4.0,1.0,0
238412,253,962,3263,626.0,1111,0,4.0,0.0,0
238412,253,962,3263,626.0,1111,0,4.0,0.0,0
238412,253,962,3263,626.0,1111,0,4.0,0.0,0
238412,253,962,3263,626.0,1111,0,4.0,0.0,0
156961,279,898,3323,683.0,1111,0,4.0,0.0,0
45576,279,898,3323,683.0,1111,0,5.0,0.0,0
45576,279,898,3323,683.0,1111,0,5.0,0.0,0
45576,279,898,3323,683.0,1111,0,5.0,0.0,0
45576,279,898,3323,683.0,1111,0,5.0,0.0,0
45576,279,898,3323,683.0,1111,0,5.0,0.0,0
45576,279,898,3323,683.0,1111,0,5.0,0.0,0
214766,253,962,3263,626.0,1110,0,2.0,0.0,0
214766,253,962,3263,626.0,1110,0,2.0,0.0,0
5524,224,614,4955,7924.0,1111,0,3.0,0.0,1
218669,279,898,3323,683.0,1111,0,0.0,2.0,0
272518,224,614,4955,7924.0,1111,0,3.0,0.0,0
277770,279,898,3323,683.0,1111,0,0.0,0.0,0
386295,279,898,3323,683.0,1111,0,2.0,0.0,0
402251,175,1181,4760,247.0,1103,0,2.0,1.0,0
402251,175,1181,4760,247.0,1103,0,2.0,1.0,0
402251,175,1181,4760,247.0,1109,0,2.0,1.0,0
402251,175,1181,4760,247.0,1109,0,2.0,1.0,0
254609,279,898,3323,683.0,1110,0,3.0,0.0,0
254609,279,898,3323,683.0,1110,0,3.0,0.0,0
254609,279,898,3323,683.0,1111,0,3.0,0.0,0
254609,279,898,3323,683.0,1111,0,3.0,0.0,0
84043,175,1181,4760,247.0,1111,0,2.0,0.0,0
120820,175,1181,4760,247.0,1111,0,3.0,1.0,0
