user_id,action count,action count ratio,day count,product diversity,1111 action count,1111 action count ratio,1111 activity ratio,last week action count,last week action count ratio,last week activity ratio,last month action count,last month action count ratio,last month activity ratio,% repeat buyer gender,% repeat buyer age,month,day,user_monthly_action_count,month_total_action_count,monthly_action_count_ratio,monthly_mean_action_type,user_buys,user_buy_ratio
379824,6,0.015584415584415584,2,0.005917159763313609,3,0.013157894736842105,0.5,6,0.016901408450704224,1.0,6,0.01639344262295082,1.0,0.73,0.05,11,11,6,362,0.016574585635359115,0.3333333333333333,1,0.16666666666666666
379824,6,0.015584415584415584,2,0.005917159763313609,3,0.013157894736842105,0.5,6,0.016901408450704224,1.0,6,0.01639344262295082,1.0,0.73,0.05,11,11,6,362,0.016574585635359115,0.3333333333333333,1,0.16666666666666666
379824,6,0.015584415584415584,2,0.005917159763313609,3,0.013157894736842105,0.5,6,0.016901408450704224,1.0,6,0.01639344262295082,1.0,0.73,0.05,11,11,6,362,0.016574585635359115,0.3333333333333333,1,0.16666666666666666
379824,6,0.015584415584415584,2,0.005917159763313609,3,0.013157894736842105,0.5,6,0.016901408450704224,1.0,6,0.01639344262295082,1.0,0.73,0.05,11,10,6,362,0.016574585635359115,0.3333333333333333,1,0.16666666666666666
379824,6,0.015584415584415584,2,0.005917159763313609,3,0.013157894736842105,0.5,6,0.016901408450704224,1.0,6,0.01639344262295082,1.0,0.73,0.05,11,10,6,362,0.016574585635359115,0.3333333333333333,1,0.16666666666666666
379824,6,0.015584415584415584,2,0.005917159763313609,3,0.013157894736842105,0.5,6,0.016901408450704224,1.0,6,0.01639344262295082,1.0,0.73,0.05,11,10,6,362,0.016574585635359115,0.3333333333333333,1,0.16666666666666666
141307,9,0.023376623376623377,2,0.005917159763313609,6,0.02631578947368421,0.6666666666666666,9,0.02535211267605634,1.0,9,0.02459016393442623,1.0,0.73,0.23,11,7,9,362,0.024861878453038673,0.2222222222222222,1,0.1111111111111111
141307,9,0.023376623376623377,2,0.005917159763313609,6,0.02631578947368421,0.6666666666666666,9,0.02535211267605634,1.0,9,0.02459016393442623,1.0,0.73,0.23,11,7,9,362,0.024861878453038673,0.2222222222222222,1,0.1111111111111111
141307,9,0.023376623376623377,2,0.005917159763313609,6,0.02631578947368421,0.6666666666666666,9,0.02535211267605634,1.0,9,0.02459016393442623,1.0,0.73,0.23,11,7,9,362,0.024861878453038673,0.2222222222222222,1,0.1111111111111111
141307,9,0.023376623376623377,2,0.005917159763313609,6,0.02631578947368421,0.6666666666666666,9,0.02535211267605634,1.0,9,0.02459016393442623,1.0,0.73,0.23,11,11,9,362,0.024861878453038673,0.2222222222222222,1,0.1111111111111111
141307,9,0.023376623376623377,2,0.005917159763313609,6,0.02631578947368421,0.6666666666666666,9,0.02535211267605634,1.0,9,0.02459016393442623,1.0,0.73,0.23,11,11,9,362,0.024861878453038673,0.2222222222222222,1,0.1111111111111111
141307,9,0.023376623376623377,2,0.005917159763313609,6,0.02631578947368421,0.6666666666666666,9,0.02535211267605634,1.0,9,0.02459016393442623,1.0,0.73,0.23,11,11,9,362,0.024861878453038673,0.2222222222222222,1,0.1111111111111111
141307,9,0.023376623376623377,2,0.005917159763313609,6,0.02631578947368421,0.6666666666666666,9,0.02535211267605634,1.0,9,0.02459016393442623,1.0,0.73,0.23,11,11,9,362,0.024861878453038673,0.2222222222222222,1,0.1111111111111111
